area_m2,lat,lon,price_usd
50.0,19.365843,-99.149901,65470.76470588235
126.0,19.365686,-99.263209,201176.4705882353
71.0,19.36678,-99.21145,61764.705882352944
70.0,19.323772,-99.116562,44405.882352941175
80.0,19.355751,-99.299347,112647.05882352941
64.0,19.3638234,-99.1444714,176176.4705882353
100.0,19.295665,-99.132282,152352.9411764706
64.0,19.436024,-99.15461,264705.8823529412
135.0,19.394073,-99.153915,300000.0
65.0,19.415461,-99.124168,67529.41176470589
70.0,19.395058,-99.13078,99411.76470588235
122.0,19.390912,-99.172242,285294.1176470588
110.0,19.355751,-99.299347,376470.5882352941
120.0,19.405298,-99.164986,371411.76470588235
62.0,19.39912,-99.141464,143475.0588235294
117.0,19.441814,-99.156422,67895.23529411765
65.0,19.312223,-99.105454,22941.176470588234
70.0,19.428767,-99.1459,58235.294117647056
60.0,19.403309,-99.145494,75470.58823529411
66.0,19.350145,-99.086731,32117.647058823528
110.0,19.399118,-99.167617,205882.35294117648
103.0,19.394358,-99.177444,302441.17647058825
60.0,19.402944,-99.199727,68411.76470588235
108.0,19.390031,-99.174182,234117.64705882352
60.0,19.453201,-99.132967,32196.117647058825
69.0,19.417636,-99.153292,50470.58823529412
70.0,19.410215,-99.14595,49176.470588235294
92.0,19.405298,-99.164986,200000.0
90.0,19.392814,-99.175476,92882.35294117648
60.0,19.409843,-99.125509,29693.176470588234
60.0,19.362679,-99.171002,76470.58823529411
70.0,19.48888,-99.179278,57380.0
80.0,19.334738,-99.176758,82489.41176470589
57.0,19.369859,-99.135812,42794.117647058825
66.0,19.410412,-99.098521,62176.470588235294
60.0,19.468775,-99.115636,64705.882352941175
91.0,19.399815,-99.150806,134117.64705882352
68.0,19.387388,-99.175554,208823.5294117647
127.0,19.380987,-99.182164,247058.82352941178
80.0,19.470215,-99.140075,52912.05882352941
94.0,19.305984,-99.127341,119823.5294117647
101.0,19.2753576,-99.1675547,193823.5294117647
95.0,19.38828,-99.195529,50153.35294117647
